Name,Lat,Lng,State
Round Lake,46.0138439,-91.3110072,WI
Rush Lake,43.9294267,-88.801778,WI
Shawano Lake,44.8099878,-88.5131585,WI
Lake Winnebago,44.0222086,-88.4231666,WI
Lake Winneconne,44.1438706,-88.7301107,WI
Lac Vieux Desert,46.1296742,-89.1173578,WI
White Lake,45.1641374,-88.7667734,WI
Lake De Smet,44.4713625,-106.7453297,WY
Jenny Lake,43.7635445,-110.7302122,WY
Lewis Lake,44.3043827,-110.6293743,WY
Ocean Lake,43.1846807,-108.6048358,WY
Heart Lake,44.2677197,-110.4888148,WY
New Fork Lakes,43.0871653,-109.9676604,WY
Willow Lake,43.0105001,-109.8509884,WY
Shoshone Lake,44.3721584,-110.7124318,WY
Yellowstone Lake,44.396332,-110.366588,WY
